"Room","Date","Time","Module","Course_Level","Tutorial","Double_module","Class_went_ahead","Capacity","Percentage_room_full","Wifi_Average_logs","Wifi_Max_logs"
3,"2015-11-03",10,"COMP10130","1",0,0,1,160,0.5,96.9091,108
3,"2015-11-04",10,"0","0",0,0,1,160,0,7.0833,30
3,"2015-11-05",10,"MATH10130","1",0,0,1,160,0.25,34.1818,41
3,"2015-11-06",10,"MATH10200","1",0,0,1,160,0.5,59,68
3,"2015-11-09",10,"0","0",0,0,1,160,0.25,31.4167,35
3,"2015-11-10",10,"COMP10130","1",0,0,1,160,0.25,110.4167,127
3,"2015-11-11",10,"0","0",0,0,1,160,0,3.5833,13
3,"2015-11-12",10,"MATH10130","1",0,0,1,160,0.5,29.9167,40
3,"2015-11-13",10,"MATH10200","1",0,0,1,160,0,54.2727,62
3,"2015-11-03",11,"COMP20070","2",0,0,1,160,0.5,56.4545,67
3,"2015-11-04",11,"COMP20020","2",0,0,1,160,0.25,59.6364,64
3,"2015-11-05",11,"COMP30080","3",0,0,1,160,0.25,63.3,78
3,"2015-11-06",11,"COMP30070","3",0,0,1,160,0.25,30.25,33
3,"2015-11-09",11,"0","0",0,0,1,160,0.25,34.2727,36
3,"2015-11-10",11,"COMP20070","2",0,0,1,160,0.25,53.75,75
3,"2015-11-11",11,"COMP20020","2",0,0,1,160,0.25,51.5455,59
3,"2015-11-12",11,"COMP30080","3",0,0,1,160,0.25,49.4167,75
3,"2015-11-13",11,"COMP30070","3",0,0,1,160,0,32.8182,37
3,"2015-11-03",12,"COMP30080","3",0,0,1,160,0.5,100.75,116
3,"2015-11-04",12,"COMP20130","2",0,0,1,160,0.5,60.9091,80
3,"2015-11-05",12,"COMP20070","2",0,0,1,160,0.25,44.3333,59
3,"2015-11-06",12,"0","0",0,0,1,160,0.25,4.9167,27
3,"2015-11-09",12,"COMP20020","2",0,0,1,160,0.25,61,67
3,"2015-11-10",12,"COMP30080","3",0,0,1,160,0.25,87.4545,95
3,"2015-11-11",12,"COMP20130","2",0,0,1,160,0.25,60.3333,75
3,"2015-11-12",12,"COMP20070","2",0,0,1,160,0.25,51.5455,59
3,"2015-11-13",12,"0","0",0,0,1,160,0,6.5833,18
3,"2015-11-03",13,"COMP20110","2",0,0,1,160,0.5,49.6667,58
3,"2015-11-04",13,"0","0",0,0,1,160,0,14.1667,19
3,"2015-11-05",13,"COMP10110","1",0,0,1,160,0.5,88.5,105
3,"2015-11-06",13,"COMP20110","2",0,0,1,160,0.5,49.2,56
3,"2015-11-09",13,"0","0",0,0,1,160,0.25,6.9091,15
3,"2015-11-10",13,"COMP20110","2",0,0,1,160,0.25,51.7273,68
3,"2015-11-11",13,"0","0",0,0,1,160,0,7.4,9
3,"2015-11-12",13,"COMP10110","1",0,0,1,160,0.5,73.75,88
3,"2015-11-13",13,"COMP20110","2",0,0,1,160,0,24.9167,49
3,"2015-11-03",14,"STAT40150","4",0,0,1,160,0.25,73.8182,83
3,"2015-11-04",14,"0","0",0,0,1,160,0,8.9167,12
3,"2015-11-05",14,"ENVB30110","3",0,0,1,160,0.25,60.1818,73
3,"2015-11-06",14,"COMP10110","1",0,0,1,160,0.25,138.25,177
3,"2015-11-09",14,"SCI30060","3",0,0,1,160,0.25,41.6667,45
3,"2015-11-10",14,"STAT40150","4",0,0,1,160,0.5,66.4545,75
3,"2015-11-11",14,"0","0",0,0,1,160,0,12.1667,17
3,"2015-11-12",14,"ENVB30110","3",0,0,1,160,0.5,46,55
3,"2015-11-13",14,"COMP10110","1",0,0,1,160,0.5,104,120
3,"2015-11-03",15,"COMP20010","2",0,0,1,160,0.25,57.7273,76
3,"2015-11-04",15,"COMP30070","3",0,0,1,160,0,1.5455,3
3,"2015-11-05",15,"0","0",0,0,1,160,0,0.25,2
3,"2015-11-06",15,"COMP30220","3",0,0,1,160,0,11.6667,24
3,"2015-11-09",15,"COMP41110","4",0,0,1,160,0.5,70.6667,81
3,"2015-11-10",15,"COMP20010","2",0,0,1,160,0.25,52.8333,68
3,"2015-11-11",15,"COMP30070","3",0,0,1,160,0,35.25,39
3,"2015-11-12",15,"0","0",0,0,1,160,0.25,1.1667,6
3,"2015-11-13",15,"COMP30220","3",0,0,1,160,0.5,4.8333,15
3,"2015-11-03",16,"0","0",0,0,1,160,0,5.5833,13
3,"2015-11-04",16,"0","0",0,0,1,160,0,0.5455,2
3,"2015-11-05",16,"COMP20010","2",0,0,1,160,0,0,0
3,"2015-11-06",16,"0","0",0,0,1,160,0,1.4167,4
3,"2015-11-09",16,"0","0",0,0,1,160,0.25,12.9167,58
3,"2015-11-10",16,"0","0",0,0,1,160,0,2.6667,8
3,"2015-11-11",16,"0","0",0,0,1,160,0,5.6667,34
3,"2015-11-12",16,"COMP20010","2",0,0,1,160,0,51.1667,59
3,"2015-11-13",16,"0","0",0,0,1,160,0,0.1667,1
